log_id,transaction_id,log_timestamp,category,message,severity
5051,1025,2023-01-05 18:20:20,Processing,Transaction processed with fraud flag,ERROR
5052,1033,2023-01-07 13:15:45,Authentication,User authenticated successfully,INFO
5053,1033,2023-01-07 13:15:46,Validation,Additional security check required for amount > 4000,WARNING
5054,1033,2023-01-07 13:15:48,Authorization,Security check failed,ERROR
5055,1033,2023-01-07 13:15:50,Authorization,Multiple payment methods attempted,ERROR
5056,1033,2023-01-07 13:15:52,Processing,Transaction processed with fraud flag,ERROR
5057,1040,2023-01-08 18:30:12,Authentication,User authenticated successfully,INFO
5058,1040,2023-01-08 18:30:13,Validation,Amount validation passed,INFO
5059,1040,2023-01-08 18:30:14,Authorization,Account recently compromised,CRITICAL
5060,1040,2023-01-08 18:30:16,Processing,Transaction processed with fraud flag,ERROR
5061,1047,2023-01-10 11:50:28,Authentication,User authenticated successfully,INFO
5062,1047,2023-01-10 11:50:29,Validation,Amount validation passed,INFO
5063,1047,2023-01-10 11:50:30,Authorization,Card reported stolen,CRITICAL
5064,1047,2023-01-10 11:50:32,Processing,Transaction processed with fraud flag,ERROR
5065,1011,2023-01-03 07:30:12,Authentication,User authenticated successfully,INFO
5066,1011,2023-01-03 07:30:13,Validation,Additional security check required for amount > 3000,WARNING
5067,1011,2023-01-03 07:30:15,Authorization,Security check passed,INFO
5068,1011,2023-01-03 07:30:17,Processing,Transaction processed successfully,INFO
5069,1012,2023-01-03 09:45:30,Authentication,User authenticated successfully,INFO
5070,1012,2023-01-03 09:45:31,Validation,Amount validation passed,INFO
5071,1012,2023-01-03 09:45:32,Processing,Transaction processed successfully,INFO
5072,1014,2023-01-03 14:35:48,Authentication,User authenticated successfully,INFO
5073,1014,2023-01-03 14:35:49,Validation,Additional security check required for amount > 8000,WARNING
5074,1014,2023-01-03 14:35:51,Authorization,Security check passed,INFO
5075,1014,2023-01-03 14:35:53,Processing,Transaction processed successfully,INFO

